description=降水量距平百分率分布图配色表
unit=%
vmin , vmax , r   , g   , b   , label
-100 , -75  , 177 , 9   , 9   ,
-75  , -50  , 221 , 83  , 30  ,
-50  , -25  , 236 , 152 , 0   ,
-25  , 0    , 254 , 217 , 99  ,
0    , 25   , 151 , 232 , 173 ,
25   , 50   , 154 , 196 , 220 ,
50   , 100  , 116 , 163 , 226 ,
100  , 150  , 59  , 126 , 219 ,
150  , 200  , 27  , 68  , 159 ,
200  , None , 2   , 12  , 100 ,
