description=相对湿度分布图配色表
unit=%
vmin , vmax , r   , g   , b   , label
0    , 10   , 151 , 232 , 173 ,
10   , 20   , 153 , 210 , 202 ,
20   , 30   , 155 , 188 , 232 ,
30   , 40   , 107 , 157 , 225 ,
40   , 50   , 59  , 126 , 219 ,
50   , 60   , 43  , 92  , 194 ,
60   , 70   , 28  , 59  , 169 ,
70   , 80   , 17  , 44  , 144 ,
80   , 90   , 7   , 30  , 120 ,
90   , 100  , 0   , 15  , 80  ,

